code,product_name,user_allergies,confirmed_allergens,potential_allergens,sulphite_threshold_allergens,decision,risk,matched_user_allergens,evidence,explanation
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,Egg; Milk; Peanuts,milk;peanut;soy,wheat_gluten,,NOT SUITABLE,CONFIRMED,Milk; Peanuts,arachide -> Peanuts; beurre -> Milk; caseinate -> Milk; caseinate de calcium -> Milk; lactoserum -> Milk; lait -> Milk; pate d arachide -> Peanuts; poudre de lait -> Milk; proteines de lactoserum -> Milk; proteines de lait -> Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Milk; Peanuts. Direct ingredient evidence: arachide -> Peanuts; beurre -> Milk; caseinate -> Milk; caseinate de calcium -> Milk; lactoserum -> Milk; lait -> Milk; pate d arachide -> Peanuts; poudre de lait -> Milk; proteines de lactoserum -> Milk; proteines de lait -> Milk.
0001003676718,,Egg; Milk; Peanuts,soy;wheat_gluten,egg;milk;peanut;sesame;tree_nut,,POTENTIAL RISK,PRECAUTIONARY,Egg; Milk; Peanuts,eggs -> Egg; milk -> Milk; peanuts -> Peanuts,The product may pose a risk because the model detected precautionary evidence associated with: Egg; Milk; Peanuts. Precautionary evidence: eggs -> Egg; milk -> Milk; peanuts -> Peanuts.
00000049,Mre Lite,Egg; Milk; Peanuts,egg;fish;milk,,,NOT SUITABLE,CONFIRMED,Egg; Milk,albumin -> Egg; egg -> Egg; egg albumin -> Egg; milk -> Milk; milk powder -> Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Egg; Milk. Direct ingredient evidence: albumin -> Egg; egg -> Egg; egg albumin -> Egg; milk -> Milk; milk powder -> Milk.
00000037,Sea Moss Gummies,Egg; Milk; Peanuts,,,,SUITABLE,NO DETECTED USER ALLERGEN,,,"The model did not detect a confirmed, threshold, or precautionary allergen matching the current user allergy profile."
0000200008423,Thai sweet chilli sensations,Egg; Milk; Peanuts,wheat_gluten,celery;milk;mustard,,POTENTIAL RISK,PRECAUTIONARY,Milk,milk -> Milk,The product may pose a risk because the model detected precautionary evidence associated with: Milk. Precautionary evidence: milk -> Milk.
00001422,Le Jambon de nos Régions,Egg; Milk; Peanuts,milk,soy,,NOT SUITABLE,CONFIRMED,Milk,cream -> Milk; milk -> Milk; whey -> Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Milk. Direct ingredient evidence: cream -> Milk; milk -> Milk; whey -> Milk.
0001005400031,cocoa powder,Egg; Milk; Peanuts,,milk;peanut;soy;tree_nut;wheat_gluten,,POTENTIAL RISK,PRECAUTIONARY,Milk; Peanuts,milk -> Milk; peanuts -> Peanuts,The product may pose a risk because the model detected precautionary evidence associated with: Milk; Peanuts. Precautionary evidence: milk -> Milk; peanuts -> Peanuts.
0000987500001,Tofu Nature Bio,Egg; Milk; Peanuts,soy,mustard;peanut;sesame;tree_nut;wheat_gluten,,POTENTIAL RISK,PRECAUTIONARY,Peanuts,cacahuetes -> Peanuts,The product may pose a risk because the model detected precautionary evidence associated with: Peanuts. Precautionary evidence: cacahuetes -> Peanuts.
00000104,30 Panach' Fruits,Egg; Milk; Peanuts,egg;milk;wheat_gluten,,,NOT SUITABLE,CONFIRMED,Egg; Milk,lait -> Milk; lait ecreme -> Milk; oeufs -> Egg,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Egg; Milk. Direct ingredient evidence: lait -> Milk; lait ecreme -> Milk; oeufs -> Egg.
00012782,Bagel sésame 3 fromages,Egg; Milk; Peanuts,milk;sesame;soy;wheat_gluten,,,NOT SUITABLE,CONFIRMED,Milk,beurre -> Milk; creme -> Milk; fromage -> Milk; fromages -> Milk; lait -> Milk; lait ecreme -> Milk; proteines de lait -> Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Milk. Direct ingredient evidence: beurre -> Milk; creme -> Milk; fromage -> Milk; fromages -> Milk; lait -> Milk; lait ecreme -> Milk; proteines de lait -> Milk.
